,DataFrame_Name,Target,Best_Model,Test_R2
0,Austin,grid,XGBRegressor,0.92
1,Austin,bathroom,RandomForestRegressor,0.47
2,Austin,bedroom,XGBRegressor,0.79
3,Austin,car,XGBRegressor,0.6
4,Austin,diningroom,RandomForestRegressor,0.39
5,Austin,livingroom,XGBRegressor,0.75
6,Austin,office,XGBRegressor,0.77
7,Austin,utilityroom,XGBRegressor,0.85
8,Austin,waterheater,XGBRegressor,0.0
9,Austin,aircomp,RandomForestRegressor,0.92
10,Austin,kitchenArea,LinearRegression,0.11
11,Austin,washer_dryer,LinearRegression,0.08
12,Austin,other,LinearRegression,0.09
13,NY,grid,XGBRegressor,0.89
14,NY,bathroom,RandomForestRegressor,0.69
15,NY,bedroom,RandomForestRegressor,0.46
16,NY,car,RandomForestRegressor,0.36
17,NY,diningroom,XGBRegressor,-0.01
18,NY,livingroom,XGBRegressor,0.7
19,NY,office,RandomForestRegressor,0.42
20,NY,utilityroom,RandomForestRegressor,0.5
21,NY,waterheater,XGBRegressor,0.14
22,NY,aircomp,RandomForestRegressor,0.76
23,NY,kitchenArea,RandomForestRegressor,0.58
24,NY,washer_dryer,RandomForestRegressor,0.37
25,NY,other,RandomForestRegressor,0.55
26,Multi_city,grid,XGBRegressor,0.89
27,Multi_city,bathroom,RandomForestRegressor,0.69
28,Multi_city,bedroom,RandomForestRegressor,0.46
29,Multi_city,car,RandomForestRegressor,0.36
30,Multi_city,diningroom,XGBRegressor,-0.01
31,Multi_city,livingroom,XGBRegressor,0.7
32,Multi_city,office,RandomForestRegressor,0.42
33,Multi_city,utilityroom,RandomForestRegressor,0.5
34,Multi_city,waterheater,RandomForestRegressor,0.13
35,Multi_city,aircomp,RandomForestRegressor,0.76
36,Multi_city,kitchenArea,RandomForestRegressor,0.58
37,Multi_city,washer_dryer,RandomForestRegressor,0.37
38,Multi_city,other,RandomForestRegressor,0.55
